
% frame   1000
% time 100.000
% report fiber:end
%    class  identity    length    stateM     posMX     posMY     dirMX     dirMY    stateP     posPX     posPY     dirPX     dirPY
         1         1     0.250         0    -2.450    -1.890     0.009    -1.000         0    -2.448    -2.140     0.005    -1.000
         1         2     0.250         0     2.285    -0.231    -0.042     0.999         0     2.274     0.019    -0.043     0.999
         1         3     0.250         0     1.754     0.048    -0.674     0.739         0     1.585     0.233    -0.675     0.738
         1         4     0.250         0    -2.468    -1.948     0.311     0.950         0    -2.390    -1.710     0.309     0.951
         1         5     0.250         0    -2.007    -0.624    -0.806     0.591         0    -2.209    -0.476    -0.807     0.591
         1         6     0.250         0    -2.269    -0.423     0.779    -0.627         0    -2.074    -0.579     0.779    -0.627
         1         7     0.250         0     2.145     2.148    -0.884    -0.468         0     1.924     2.031    -0.884    -0.467
         1         8     0.250         0    -2.319    -0.391     0.805    -0.593         0    -2.117    -0.539     0.806    -0.592
         1         9     0.250         0    -0.680     2.340    -0.702    -0.712         0    -0.855     2.162    -0.703    -0.712
         1        10     0.250         0     0.087     0.526    -0.724    -0.690         0    -0.094     0.354    -0.727    -0.687
         1        11     0.250         0    -1.828    -1.672    -0.061     0.998         0    -1.843    -1.422    -0.057     0.998
         1        12     0.250         0     1.826     1.291    -0.888    -0.460         0     1.604     1.176    -0.889    -0.458
         1        13     0.250         0    -0.581     2.280     0.982    -0.188         0    -0.335     2.234     0.983    -0.185
         1        14     0.250         0    -1.935    -0.682    -0.796     0.605         0    -2.135    -0.531    -0.798     0.603
         1        15     0.250         0    -2.491     2.524     0.072    -0.997         0    -2.473     2.274     0.069    -0.998
         1        16     0.250         0    -1.838    -0.740    -0.825     0.564         0    -2.045    -0.599    -0.826     0.563
         1        17     0.250         0    -0.704     0.884     0.952    -0.305         0    -0.466     0.808     0.953    -0.304
         1        18     0.250         0    -1.843    -0.744    -0.804     0.595         0    -2.044    -0.596    -0.805     0.593
         1        19     0.250         0    -1.747    -0.682    -0.990     0.141         0    -1.995    -0.647    -0.990     0.140
         1        20     0.250         0    -2.388    -0.316     0.755    -0.655         0    -2.200    -0.480     0.754    -0.657
         1        21     0.250         0    -1.320     0.511    -0.660     0.751         0    -1.485     0.699    -0.661     0.750
         1        22     0.250         0     0.453     1.102    -0.801    -0.598         0     0.253     0.953    -0.801    -0.598
         1        23     0.250         0    -0.902    -1.247     0.594    -0.804         0    -0.754    -1.448     0.594    -0.805
         1        24     0.250         0    -1.970    -0.699    -0.662     0.750         0    -2.136    -0.512    -0.666     0.746
         1        25     0.250         0    -0.634     1.008     0.878    -0.478         0    -0.414     0.888     0.879    -0.477
         1        26     0.250         0    -0.977    -1.130    -0.602     0.799         0    -1.128    -0.930    -0.601     0.799
         1        27     0.250         0    -0.325     2.513    -0.909     0.418         0    -0.552     2.617    -0.908     0.419
         1        28     0.250         0    -2.439    -0.331     0.865    -0.502         0    -2.223    -0.456     0.863    -0.505
         1        29     0.250         0     1.095    -2.461    -1.000    -0.016         0     0.845    -2.465    -1.000    -0.015
         1        30     0.250         0     2.424     0.082     0.751    -0.661         0     2.611    -0.083     0.750    -0.661
         1        31     0.250         0     1.228    -1.398    -0.995     0.104         0     0.979    -1.372    -0.994     0.105
         1        32     0.250         0    -2.423    -0.186     0.522    -0.853         0    -2.293    -0.399     0.523    -0.852
         1        33     0.250         0    -0.746     1.813    -0.842     0.540         0    -0.956     1.948    -0.842     0.540
         1        34     0.250         0     2.485    -2.324     0.143     0.990         0     2.520    -2.077     0.143     0.990
         1        35     0.250         0    -2.035    -0.619    -0.669     0.743         0    -2.202    -0.433    -0.668     0.744
         1        36     0.250         0    -2.331    -0.409     0.857    -0.516         0    -2.117    -0.539     0.853    -0.522
         1        37     0.250         0    -2.190    -0.481     0.781    -0.625         0    -1.995    -0.637     0.785    -0.619
         1        38     0.250         0     2.510    -0.427    -0.064    -0.998         0     2.493    -0.676    -0.068    -0.998
         1        39     0.250         0    -2.304    -0.404     0.801    -0.599         0    -2.104    -0.554     0.799    -0.601
         1        40     0.250         0     0.448     1.104     0.995     0.101         0     0.697     1.129     0.995     0.101
         1        41     0.250         0     0.799     0.623    -0.390    -0.921         0     0.702     0.392    -0.388    -0.922
         1        42     0.250         0    -1.911    -0.714    -0.767     0.642         0    -2.102    -0.553    -0.763     0.646
         1        43     0.250         0    -0.019     1.233    -0.458     0.889         0    -0.133     1.456    -0.456     0.890
         1        44     0.250         0    -1.850    -0.680    -0.711     0.704         0    -2.028    -0.504    -0.712     0.702
         1        45     0.250         0    -2.330    -0.391     0.820    -0.573         0    -2.125    -0.534     0.818    -0.575
         1        46     0.250         0     1.001    -2.500    -0.995     0.099         0     0.753    -2.475    -0.996     0.094
         1        47     0.250         0    -1.996    -0.636    -0.790     0.613         0    -2.194    -0.483    -0.794     0.609
         1        48     0.250         0    -2.468    -0.267     0.718    -0.696         0    -2.289    -0.442     0.715    -0.699
         1        49     0.250         0    -2.177    -0.497    -0.769     0.639         0    -2.370    -0.337    -0.768     0.641
         1        50     0.250         0    -1.077    -2.521     0.954    -0.301         0    -0.838    -2.596     0.954    -0.301
         1        51     0.250         0    -0.857    -0.324    -0.260    -0.966         0    -0.922    -0.565    -0.262    -0.965
         1        52     0.250         0    -1.456    -2.207    -0.902    -0.432         0    -1.681    -2.315    -0.904    -0.427
         1        53     0.250         0    -1.295    -0.618     0.700    -0.714         0    -1.120    -0.796     0.700    -0.714
         1        54     0.250         0    -2.396    -0.242     0.569    -0.823         0    -2.253    -0.447     0.572    -0.820
         1        55     0.250         0    -2.513    -0.417     1.000     0.008         0    -2.263    -0.415     1.000     0.007
         1        56     0.250         0    -2.533     1.313     0.533     0.846         0    -2.400     1.525     0.533     0.846
         1        57     0.250         0    -1.293     2.009    -0.238    -0.971         0    -1.353     1.766    -0.237    -0.971
         1        58     0.250         0    -2.335    -0.377     0.792    -0.610         0    -2.137    -0.530     0.792    -0.610
