
% frame   1000
% time 100.000
% report single:force
%    class  identity      posX      posY    forceX    forceY     fiber  abscissa     aster
         1         1     0.000    -0.000    -0.204    -0.434         1     0.125         0
         1         2     0.000    -0.000     4.217     0.556         2     0.125         0
         1         3     0.000     0.000    -0.660    -0.162         3     0.125         0
         1         4     0.000    -0.000    -0.469     0.009         4     0.125         0
         1         5     0.000    -0.000    -1.366    -0.125         5     0.125         0
         1         6     0.000     0.000    -0.721    -0.174         6     0.125         0
         1         7     0.000    -0.000    -0.339    -0.212         7     0.125         0
         1         8    -0.000     0.000    -0.398     0.294         8     0.125         0
         1         9    -0.000    -0.000    -0.350     0.145         9     0.125         0
         1        10     0.000     0.000    -0.105     0.160        10     0.125         0
         3        61     0.500     0.000    -0.118    -0.027        20     0.125         0
         3        62     0.500     0.000    -0.139     0.029        11     0.125         0
         3        63     0.500     0.000     0.018     0.136        12     0.125         0
         3        64     0.500     0.000     0.004     0.130        13     0.125         0
         3        65     0.500     0.000     0.006     0.021        14     0.125         0
         3        66     0.500     0.000     0.024    -0.040        15     0.125         0
         3        67     0.500     0.000     0.011    -0.136        16     0.125         0
         3        68     0.500     0.000    -0.084    -0.121        17     0.125         0
         3        69     0.500     0.000    -0.163     0.043        18     0.125         0
         3        70     0.500     0.000     0.078     0.191        19     0.125         0
% end
